work,year,representation,compression,provenance,modularity,replacement_contract,behavioral_validation,agent_integration,benchmark,overlap_risk,citation_verified,authors,venue,doi,url,retrieved_on,verification_basis,verified_claim,boundary_class,notes
"LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models","2023","token-level compressed prompts","coarse-to-fine prompt compression","not a source-evidence plane","compression pipeline","no","downstream task utility after compression; no old/new context contract","prompt preprocessing","GSM8K; BBH; ShareGPT; Arxiv-March23","medium","true","Huiqiang Jiang; Qianhui Wu; Chin-Yew Lin; Yuqing Yang; Lili Qiu","EMNLP 2023","10.18653/v1/2023.emnlp-main.825","https://aclanthology.org/2023.emnlp-main.825/","2026-08-01","ACL Anthology metadata and primary paper abstract/PDF checked","Budget-controlled prompt compression targets inference cost and latency while retaining task utility; it does not define behavioral context replacement","compression-only","Do not cite compression itself as the ContractCapsule novelty"
"LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression","2024","question-aware compressed long prompts","document reordering and dynamic token compression","not an immutable evidence plane","compression pipeline","no","long-context task performance; no protected-invariant or spillover gate","prompt preprocessing","NaturalQuestions; LooGLE; long-context tasks","medium","true","Huiqiang Jiang; Qianhui Wu; Xufang Luo; Dongsheng Li; Chin-Yew Lin; Yuqing Yang; Lili Qiu","ACL 2024","10.18653/v1/2024.acl-long.91","https://aclanthology.org/2024.acl-long.91/","2026-08-01","ACL Anthology metadata and primary paper abstract/PDF checked","Question-aware compression improves information density and reduces long-context cost/latency; it does not model atomic old/new context replacement","compression-only","Relevant baseline for equal-budget context compression"
"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","2020","parametric generator plus retrieved passages from a dense index","retrieval limits supplied passages rather than contract-preserving compression","retrieved documents can support outputs but no CCS-style per-atom immutable source map","retriever-generator architecture","no","knowledge-intensive generation metrics; no replacement invariants or rollback","general NLP generation","open-domain QA and knowledge-intensive generation tasks","medium","true","Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; Naman Goyal; Heinrich Kuettler; Mike Lewis; Wen-tau Yih; Tim Rocktaeschel; Sebastian Riedel; Douwe Kiela","NeurIPS 2020","","https://proceedings.neurips.cc/paper/2020/hash/6b493230-Abstract.html","2026-08-01","NeurIPS proceedings metadata and primary paper abstract checked","RAG combines parametric and non-parametric memory through retrieval; it does not guarantee dependency closure or validate behavioral replacement","retrieval-only","Primary conceptual source for the RAG baseline"
"Compress the Context, Keep the Commitments: A Formal Framework for Verifiable LLM Context Compression","2026","typed source-grounded semantic atoms with identity; conflict; risk; and evidence spans","commitment-level context compression with conservative fallback","source spans and recoverability are explicit","separates extraction; normalization; representation; rendering; verification","no old/new behavioral replacement contract","CAR; WAR; commitment density; round-trip recoverability; small diagnostic rendering study","LLM context and chat compression framework","diagnostic CCL representation study","high","true","Natalia Trukhina; Vadim Vashkelis","arXiv preprint","10.48550/arXiv.2605.17304","https://arxiv.org/abs/2605.17304","2026-08-01","arXiv metadata plus full HTML sections searched for replacement; activation; and rollback semantics","Context Codec makes semantic commitment preservation in compression auditable; it does not define TER/PIP/BSR old/new replacement; atomic activation; or pointer rollback","atom-only","Closest overlap; G0 depends on maintaining the behavioral replacement boundary rather than claiming atoms or verifiable compression as new"
"Learning to Compress Prompt in Natural Language Formats","2024","natural-language Capsule Prompt","learned natural-language prompt encapsulation under utility and length rewards","no immutable source-evidence plane identified","Nano-Capsulator model","no","prompt utility and transferability after compression; no protected-invariant gate","portable prompts across LLMs","multiple NLP datasets and LLMs","medium","true","Yu-Neng Chuang; Tianwei Xing; Chia-Yuan Chang; Zirui Liu; Xun Chen; Xia Hu","arXiv preprint","10.48550/arXiv.2402.18700","https://arxiv.org/abs/2402.18700","2026-08-01","arXiv metadata and primary full-text/abstract claim checked","Nano-Capsulator learns compact natural-language Capsule Prompts for utility and transferability; capsule naming does not imply CCS replacement semantics","compression-only","Terminology overlap requires explicit disambiguation"
"MemGPT: Towards LLMs as Operating Systems","2023","virtual context split across managed memory tiers","moves information between fast and slow memory rather than defining risk classes for replacement","not an immutable per-atom evidence plane","OS-inspired memory manager and interrupts","no","document analysis and multi-session conversation evaluation; no old/new replacement contract","LLM agent memory management","document analysis; multi-session chat","medium","true","Charles Packer; Sarah Wooders; Kevin Lin; Vivian Fang; Shishir G. Patil; Ion Stoica; Joseph E. Gonzalez","arXiv preprint","10.48550/arXiv.2310.08560","https://arxiv.org/abs/2310.08560","2026-08-01","arXiv metadata and primary abstract/full paper description checked","MemGPT manages virtual context and long-term memory tiers; it does not require evidence-preserving behavioral replacement or atomic rollback","memory-only","Primary conceptual source for the long-term-memory boundary"
"About GitHub Copilot Memory","n.d.","repository facts and user preferences with citations","retention and relevance-driven reuse; not a published compression method","repository facts cite code and are revalidated against the current branch","memory shared across supported Copilot features","no","citation validation and retention behavior; no TER/PIP/BSR contract","GitHub Copilot cloud agent; code review; CLI","product documentation; no research benchmark","medium","true","GitHub","Official GitHub Copilot documentation","","https://docs.github.com/en/copilot/concepts/agents/copilot-memory","2026-08-01","Official current documentation read directly; page is marked public preview","Copilot Memory stores repository facts and preferences and validates repository citations; it does not specify immutable capsule identity or behavioral replacement","memory-only","Product behavior is temporally unstable and must be rechecked before submission"
"Model Context Protocol Specification 2025-06-18","2025","JSON-RPC protocol exposing resources; prompts; and tools","none as a core protocol claim","resource URIs and metadata can identify context but do not establish immutable evidence semantics","client-host-server components and capability negotiation","no","protocol conformance and capability rules; no behavioral replacement validation","direct integration surface for AI hosts and servers","specification conformance; no ContractCapsule benchmark","low","true","Model Context Protocol contributors","Official protocol specification","","https://modelcontextprotocol.io/specification/2025-06-18","2026-08-01","Official architecture; base protocol; and resources pages checked","MCP standardizes context/tool exchange and capability negotiation; it is an integration carrier rather than a context fact identity or replacement protocol","integration-only","MCP integration remains M6 and is not a paper contribution by itself"
"SLSA Provenance v1.2","n.d.","verifiable artifact provenance and attestations","none","tracks where; when; and how software artifacts were produced","separate build and source provenance tracks","no","artifact provenance verification; no agent behavior contract","software supply-chain tooling","specification examples and conformance guidance","low","true","SLSA contributors","Official SLSA specification v1.2","","https://slsa.dev/spec/v1.2/provenance","2026-08-01","Official approved SLSA v1.2 provenance page checked","SLSA defines verifiable software-artifact provenance; it does not define task-specific agent context selection or replacement correctness","provenance-only","Supports provenance design precedent; provenance alone is not ContractCapsule novelty"
"OCI Image Manifest Specification","n.d.","content-addressable manifest with configuration and layer descriptors","lossless blob packaging and optional gzip/zstd layer encodings","digest-linked descriptors","manifest; config; layers; index; artifact types","no","schema and content-addressability validation; no agent behavioral checks","container and artifact tooling","OCI specification validation","low","true","Open Container Initiative contributors","Official OCI Image Format specification","","https://github.com/opencontainers/image-spec/blob/main/manifest.md","2026-08-01","Official image-spec manifest source checked directly","OCI manifests establish content-addressed packaging and typed artifacts; they do not compile or behaviorally replace coding-agent context","package-only","Useful packaging analogy but not a behavioral replacement baseline"
